GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.temporal.domain.model.enums,EDurationUnit,33,0,0,0,6,0,1,0,1,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.web.infrastructure.context,RequestContext,7,12,0,0,2,5,2,3,2,3
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.web.infrastructure.context,RequestContextFilter,28,47,1,1,7,16,2,3,1,3
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.web.infrastructure.context,RequestData,0,9,0,0,0,1,0,1,0,1
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.data.application.adapter.response,PagedResponse,9,0,0,0,1,0,1,0,1,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.configuration.domain.model,TraceConfiguration,12,0,0,0,1,0,1,0,1,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.configuration.domain.model,ETraceConfiguration,21,0,0,0,4,0,1,0,1,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.configuration.domain.model,InstitutionConfigurationElements,9,0,0,0,1,0,1,0,1,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.language.infrastructure.adapter.filter,LanguageFilterAspect,10,0,0,0,3,0,1,0,1,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.language.infrastructure.adapter.filter,LanguageFilterSupplier,14,0,2,0,5,0,3,0,2,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.data.infrastructure.adapter.model,AvenirsBaseEntity,3,0,0,0,1,0,1,0,1,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.data.infrastructure.adapter.model,DeletableAvenirsBaseEntity,3,0,0,0,1,0,1,0,1,0
