Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1747318773,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1747318774,10,,Aggregated,0.000000,0.000000,520,550,600,610,620,620,620,620,620,620,620,10,0,500.0,514.8945083000115,430.1164329999665,617.8630740000131,791.5
1747318775,20,,Aggregated,0.000000,0.000000,660,760,770,790,820,870,950,950,950,950,950,33,0,660.0,640.4150914242501,305.3274850000207,950.837837999984,23362.242424242424
1747318776,30,,Aggregated,0.000000,0.000000,720,790,910,950,1100,1200,1200,1500,1500,1500,1500,63,0,720.0,746.2588960793709,305.3274850000207,1533.4430670000074,24667.698412698413
1747318777,40,,Aggregated,5.000000,0.000000,720,820,950,990,1200,1400,1700,1900,1900,1900,1900,91,0,720.0,773.62008317583,262.5535249999871,1910.5283119999967,21550.175824175825
1747318778,50,,Aggregated,11.000000,0.000000,750,910,1100,1200,1500,1900,2000,2100,2200,2200,2200,115,0,750.0,860.2997724000041,262.5535249999871,2209.5466029999784,18424.38260869565
1747318779,60,,Aggregated,16.000000,0.000000,770,1100,1500,1700,2000,2200,2400,2400,2600,2600,2600,144,0,770.0,996.5974505208362,262.5535249999871,2601.467377000006,17908.4375
1747318780,70,,Aggregated,18.200000,0.000000,790,1200,1800,2000,2200,2400,2600,2700,2900,2900,2900,175,0,790.0,1116.3281192514303,262.5535249999871,2871.2638630000242,17549.14857142857
1747318781,80,,Aggregated,19.333333,0.000000,790,1500,1900,2100,2400,2700,2900,2900,2900,2900,2900,198,0,790.0,1167.5654457929304,150.61481500003993,2897.602634000009,16479.868686868685
1747318782,90,,Aggregated,20.571429,0.000000,830,1700,2100,2300,2900,3100,3300,3300,3500,3500,3500,227,0,830.0,1292.4600974669625,150.61481500003993,3536.653933000025,17052.180616740086
1747318783,100,,Aggregated,21.875000,0.000000,920,1900,2300,2600,3100,3500,3700,3800,3900,3900,3900,255,0,920.0,1413.0288733254922,150.61481500003993,3919.3783709999934,16338.95294117647
1747318784,100,,Aggregated,22.000000,0.000000,1100,2100,2600,2900,3500,3800,4200,4300,4400,4400,4400,270,0,1000.0,1558.4009799370388,150.61481500003993,4449.407917999963,16597.566666666666
1747318785,100,,Aggregated,22.700000,0.000000,1200,2300,2900,3200,3800,4200,4600,4800,6700,6700,6700,288,0,1200.0,1738.0995256215292,150.61481500003993,6716.4239640000005,17318.215277777777
1747318786,100,,Aggregated,25.600000,0.000000,1500,2600,3200,3600,4200,4600,4800,4800,6700,6700,6700,309,0,1500.0,1924.493753391587,150.61481500003993,6716.4239640000005,18113.540453074434
1747318787,100,,Aggregated,26.300000,0.000000,1800,2900,3500,3800,4600,4900,5100,5200,6700,6700,6700,326,0,1800.0,2087.135535763804,150.61481500003993,6716.4239640000005,17276.638036809814
1747318788,100,,Aggregated,25.600000,0.000000,2000,3100,3800,4200,4900,5100,5300,5500,6700,6700,6700,345,0,2000.0,2254.0896424376815,150.61481500003993,6716.4239640000005,17746.095652173914
1747318789,100,,Aggregated,24.600000,0.000000,2100,3300,4100,4400,5000,5300,5600,5700,6700,6700,6700,360,0,2100.0,2378.2084761055557,150.61481500003993,6716.4239640000005,17012.9
1747318790,100,,Aggregated,23.600000,0.000000,2200,3500,4200,4700,5200,5600,5700,5800,6700,6700,6700,373,0,2200.0,2478.629918991957,64.25403700001198,6716.4239640000005,16426.895442359248
1747318791,100,,Aggregated,23.000000,0.000000,2300,3800,4500,4900,5500,5800,6000,6400,6700,6700,6700,390,0,2300.0,2632.2737340743583,64.25403700001198,6716.4239640000005,15717.34358974359
1747318792,100,,Aggregated,21.700000,0.000000,2700,4200,4900,5200,5700,5800,6300,6500,6900,6900,6900,422,0,2700.0,2855.3708500165876,64.25403700001198,6879.800606999993,14538.343601895735
1747318793,100,,Aggregated,20.000000,0.000000,3100,4400,5000,5200,5700,5800,6300,6600,9500,9500,9500,463,0,3100.0,3005.4009059071273,64.25403700001198,9504.051109999979,13444.291576673866
1747318794,100,,Aggregated,19.400000,0.000000,3000,4200,4900,5100,5600,5800,6100,6500,9500,9500,9500,501,0,3000.0,3008.3271609600797,64.25403700001198,9504.051109999979,12508.826347305388
1747318795,100,,Aggregated,19.500000,0.000000,2800,4000,4800,5100,5600,5800,6300,6600,9500,9500,9500,546,0,2700.0,2971.8359171593397,64.25403700001198,9504.051109999979,11512.02380952381
1747318796,100,,Aggregated,20.800000,0.000000,2600,3800,4700,5000,5600,5800,6300,6600,9500,9500,9500,589,0,2600.0,2923.6196058641763,64.25403700001198,9504.051109999979,10683.573853989814
1747318797,100,,Aggregated,22.900000,0.000000,2500,3700,4500,4900,5600,5800,6100,6500,9500,9500,9500,630,0,2500.0,2877.537004274604,64.25403700001198,9504.051109999979,9999.007936507936
1747318798,100,,Aggregated,25.700000,0.000000,2500,3400,4300,4800,5500,5800,6100,6500,9500,9500,9500,672,0,2500.0,2854.2028396919654,64.25403700001198,9504.051109999979,9534.002976190477
1747318799,100,,Aggregated,28.000000,0.000000,2500,3300,4200,4700,5400,5800,6000,6400,9500,9500,9500,714,0,2500.0,2823.8126827184888,64.25403700001198,9504.051109999979,9051.903361344537
1747318800,100,,Aggregated,30.400000,0.000000,2400,3000,4100,4600,5300,5800,6000,6400,9500,9500,9500,760,0,2400.0,2783.421871969739,64.25403700001198,9504.051109999979,8514.765789473684
1747318801,100,,Aggregated,32.600000,0.000000,2400,2800,3900,4500,5300,5800,5900,6400,9500,9500,9500,806,0,2400.0,2746.5379791935493,64.25403700001198,9504.051109999979,8191.099255583126
1747318803,100,,Aggregated,35.300000,0.000000,2400,2700,3800,4300,5200,5700,5900,6400,9500,9500,9500,856,0,2400.0,2712.7535754415912,64.25403700001198,9504.051109999979,7826.806074766355
1747318804,100,,Aggregated,38.500000,0.000000,2400,2600,3700,4200,5200,5700,5900,6300,9500,9500,9500,902,0,2400.0,2683.87896868182,64.25403700001198,9504.051109999979,7435.967849223946
1747318805,100,,Aggregated,41.400000,0.000000,2400,2600,3600,4200,5200,5700,5900,6300,9500,9500,9500,947,0,2400.0,2657.280937941924,64.25403700001198,9504.051109999979,7138.392819429779
1747318806,100,,Aggregated,43.400000,0.000000,2300,2500,3300,4000,5200,5700,5900,6300,9500,9500,9500,994,0,2300.0,2623.851316365194,64.25403700001198,9504.051109999979,6854.726358148893
1747318807,100,,Aggregated,44.500000,0.000000,2300,2500,3100,3900,5100,5600,5900,6300,7300,9500,9500,1041,0,2300.0,2597.3665890653256,55.96722600000703,9504.051109999979,6630.043227665706
1747318808,100,,Aggregated,44.800000,0.000000,2300,2500,3000,3800,5100,5600,5900,6300,7300,9500,9500,1084,0,2300.0,2578.3061328570147,55.96722600000703,9504.051109999979,6468.7712177121775
1747318809,100,,Aggregated,44.800000,0.000000,2300,2400,2800,3700,5100,5600,5900,6300,7300,9500,9500,1129,0,2300.0,2555.1852430469476,55.96722600000703,9504.051109999979,6358.668733392383
1747318810,100,,Aggregated,45.000000,0.000000,2300,2400,2700,3600,5000,5600,5800,6300,7300,9500,9500,1177,0,2300.0,2536.0336116134267,55.96722600000703,9504.051109999979,6280.391673746814
1747318811,100,,Aggregated,45.700000,0.000000,2300,2400,2700,3400,4900,5600,5800,6100,7300,9500,9500,1223,0,2300.0,2516.0407597187277,55.96722600000703,9504.051109999979,6319.445625511038
1747318812,100,,Aggregated,46.300000,0.000000,2300,2400,2600,3300,4900,5500,5800,6100,7300,9500,9500,1266,0,2300.0,2502.9600067227525,55.96722600000703,9504.051109999979,6294.247235387046
1747318813,100,,Aggregated,46.200000,0.000000,2300,2400,2600,3200,4900,5500,5800,6100,7300,9500,9500,1313,0,2300.0,2491.3235784935296,55.96722600000703,9504.051109999979,6170.34501142422
1747318814,100,,Aggregated,45.900000,0.000000,2300,2400,2500,3100,4800,5500,5800,6100,7300,9500,9500,1355,0,2300.0,2481.9394055431762,55.96722600000703,9504.051109999979,6185.556457564576
1747318815,100,,Aggregated,45.400000,0.000000,2300,2400,2500,2900,4800,5400,5800,6100,7300,9500,9500,1398,0,2300.0,2470.5662271316187,55.96722600000703,9504.051109999979,6199.07296137339
1747318816,100,,Aggregated,45.100000,0.000000,2300,2400,2500,2800,4700,5400,5800,6000,7300,9500,9500,1443,0,2300.0,2456.331106936939,55.96722600000703,9504.051109999979,6091.345807345808
1747318817,100,,Aggregated,44.800000,0.000000,2300,2400,2500,2700,4700,5300,5800,6000,7300,9500,9500,1487,0,2300.0,2450.1613567034306,55.96722600000703,9504.051109999979,6040.194351042367
1747318818,100,,Aggregated,44.800000,0.000000,2300,2300,2500,2700,4500,5300,5800,6000,7300,9500,9500,1534,0,2300.0,2442.164040539115,55.96722600000703,9504.051109999979,6007.900260756193
1747318819,100,,Aggregated,44.600000,0.000000,2300,2300,2400,2700,4500,5300,5800,6000,7300,9500,9500,1575,0,2300.0,2437.571508113653,55.96722600000703,9504.051109999979,5855.80253968254
1747318820,100,,Aggregated,44.900000,0.000000,2300,2300,2400,2600,4500,5300,5800,5900,7300,9500,9500,1625,0,2300.0,2427.8639193606173,55.96722600000703,9504.051109999979,5901.590769230769
